Channel: 85 GHz  Passes: 2  Nscale: 2

Case        Mean    STD    RMS
N-F Non    -0.00   4.30   4.30
N-F Ave     0.00   3.13   3.13
N-F SIR     0.00   1.67   1.67
N-F BGI     0.00   2.15   2.15
N-F BGM     0.02   2.15   2.10
Noisy Non  -0.00   4.36   4.36
Noisy Ave   0.00   3.21   3.21
Noisy SIR   0.01   4.00   4.00
Noisy BGI  -0.02   7.25   7.25
Noisy BGM  -0.01   3.82   3.82
