Channel: 85 GHz  Passes: 2  Nscale: 4

Case        Mean    STD    RMS
N-F Non    -0.00   3.19   3.19
N-F Ave    -0.00   2.53   2.53
N-F SIR    -0.00   2.10   2.10
N-F BGI     0.02   2.51   2.51
N-F BGM     0.02   2.51   2.50
Noisy Non   0.00   3.27   3.27
Noisy Ave  -0.00   2.62   2.62
Noisy SIR  -0.00   3.34   3.34
Noisy BGI   0.01   3.49   3.49
Noisy BGM   0.01   3.40   3.40
