 1 -87.7500000 74.8600006
 2 -87.6688843 74.9379120
 3 -87.5898209 75.0153580
 4 -87.5097351 75.0923462
 5 -87.4292374 75.1688538
 6 -87.3485565 75.2472153
 7 -87.2717972 75.3252869
 8 -87.1921921 75.4028854
 9 -87.1100006 75.4799957
 10 -87.0237732 75.5663757
 11 -86.9354553 75.6523819
 12 -86.8452072 75.7379913
 13 -86.7555084 75.8232117
 14 -86.6667404 75.9080276
 15 -86.5795746 75.9924393
 16 -86.4906158 76.0764313
 17 -86.4000015 76.1599960
 18 -86.3052826 76.2548447
 19 -86.2092438 76.3493958
 20 -86.1119766 76.4436417
 21 -86.0143356 76.5375671
 22 -85.9172821 76.6311722
 23 -85.8225861 76.7244492
 24 -85.7268219 76.8173904
 25 -85.6299973 76.9099960
 26 -85.5272064 77.0120087
 27 -85.4236984 77.1138077
 28 -85.3195190 77.2154007
 29 -85.2155914 77.3167801
 30 -85.1126251 77.4179306
 31 -85.0090103 77.5188599
 32 -84.9047852 77.6195526
 33 -84.7999954 77.7200012
 34 -84.6912842 77.8255539
 35 -84.5821609 77.9309540
 36 -84.4726486 78.0362015
 37 -84.3631897 78.1412964
 38 -84.2554321 78.2462234
 39 -84.1473007 78.3509903
 40 -84.0388184 78.4555817
 41 -83.9300003 78.5599976
 42 -83.8168335 78.6703033
 43 -83.7034760 78.7805252
 44 -83.5899506 78.8906631
 45 -83.4762573 79.0007172
 46 -83.3624115 79.1106796
 47 -83.2484131 79.2205505
 48 -83.1342697 79.3303223
 49 -83.0199966 79.4399948
 50 -82.9052277 79.5526123
 51 -82.7903824 79.6651993
 52 -82.6754684 79.7777557
 53 -82.5604935 79.8902740
 54 -82.4454575 80.0027618
 55 -82.3303604 80.1152115
 56 -82.2152100 80.2276230
 57 -82.0999985 80.3399963
 58 -81.9825211 80.4525146
 59 -81.8650360 80.5650330
 60 -81.7475433 80.6775436
 61 -81.6300430 80.7900467
 62 -81.5125351 80.9025421
 63 -81.3950272 81.0150375
 64 -81.2775116 81.1275177
 65 -81.1599960 81.2399979
 66 -81.0425262 81.3537979
 67 -80.9250488 81.4675903
 68 -80.8075638 81.5813599
 69 -80.6900711 81.6951218
 70 -80.5725708 81.8088684
 71 -80.4550552 81.9225922
 72 -80.3375320 82.0363083
 73 -80.2200012 82.1500015
 74 -80.1051712 82.2627182
 75 -79.9902878 82.3753815
 76 -79.8753586 82.4879837
 77 -79.7603760 82.6005249
 78 -79.6453476 82.7129974
 79 -79.5302734 82.8254013
 80 -79.4151535 82.9377365
 81 -79.2999954 83.0499954
 82 -79.1865845 83.1604385
 83 -79.0730667 83.2707672
 84 -78.9594498 83.3809814
 85 -78.8457413 83.4910660
 86 -78.7319336 83.6010132
 87 -78.6180420 83.7108231
 88 -78.5040665 83.8204880
 89 -78.3899994 83.9300003
 90 -78.2831497 84.0349960
 91 -78.1761017 84.1396790
 92 -78.0688629 84.2440262
 93 -77.9614410 84.3480148
 94 -77.8538361 84.4536514
 95 -77.7460632 84.5594559
 96 -77.6381149 84.6649094
 97 -77.5299988 84.7699966
 98 -77.4271011 84.8698196
 99 -77.3239441 84.9690628
 100 -77.2205429 85.0676880
 101 -77.1168976 85.1656494
 102 -77.0130157 85.2649612
 103 -76.9088974 85.3640518
 104 -76.8045578 85.4624100
 105 -76.6999969 85.5599976
 106 -76.6049576 85.6560135
 107 -76.5095520 85.7511597
 108 -76.4137955 85.8453751
 109 -76.3176956 85.9386063
 110 -76.2212601 86.0324326
 111 -76.1244965 86.1260834
 112 -76.0274048 86.2186356
 113 -75.9300003 86.3099976
 114 -75.8440018 86.3963547
 115 -75.7575531 86.4811554
 116 -75.6706772 86.5643387
 117 -75.5833664 86.6493301
 118 -75.4956360 86.7341385
 119 -75.4074936 86.8195343
 120 -75.3189468 86.9057083
 121 -75.2299957 86.9899979
 122 -75.1502380 87.0711212
 123 -75.0699997 87.1500015
 124 -74.9907455 87.2266769
 125 -74.9109879 87.3007202
 126 -74.8307343 87.3765869
 127 -74.7500000 87.4499969
 128 -74.6800003 87.5199966
