Channel: 85 GHz  Passes: 1  Nscale: 3

Case        Mean    STD    RMS
N-F Non    -0.02   3.81   3.81
N-F Ave     0.04   3.51   3.51
N-F SIR     0.04   3.23   3.23
N-F BGI     0.28   5.56   5.57
N-F BGM     0.29   5.56   5.55
Noisy Non  -0.03   3.93   3.93
Noisy Ave   0.03   3.65   3.65
Noisy SIR   0.04   4.26   4.26
Noisy BGI   0.28   6.54   6.55
Noisy BGM   0.28   6.21   6.22
