Channel: 37 GHz  Passes: 2  Nscale: 2

Case        Mean    STD    RMS
N-F Non    -0.02   4.64   4.64
N-F Ave    -0.00   4.70   4.70
N-F SIR     0.00   3.30   3.30
N-F BGI     0.01   3.45   3.45
N-F BGM     0.02   3.45   3.43
Noisy Non  -0.02   4.73   4.73
Noisy Ave  -0.00   4.71   4.71
Noisy SIR   0.01   4.10   4.10
Noisy BGI   0.01   5.58   5.58
Noisy BGM   0.01   4.93   4.93
