Channel: 37 GHz  Passes: 1  Nscale: 2

Case        Mean    STD    RMS
N-F Non    -0.02   4.70   4.70
N-F Ave     0.00   4.73   4.73
N-F SIR     0.00   3.35   3.35
N-F BGI     0.02   3.63   3.63
N-F BGM     0.04   3.63   3.57
Noisy Non  -0.01   4.91   4.91
Noisy Ave   0.01   4.76   4.76
Noisy SIR   0.02   4.80   4.80
Noisy BGI   0.02   5.58   5.58
Noisy BGM   0.02   5.01   5.01
