Channel: 19 GHz  Passes: 1  Nscale: 3

Case        Mean    STD    RMS
N-F Non     0.06   5.13   5.13
N-F Ave    -0.02   4.80   4.80
N-F SIR     0.01   3.93   3.93
N-F BGI    -0.07   4.00   4.00
N-F BGM    -0.07   4.00   4.00
Noisy Non   0.10   5.31   5.31
Noisy Ave   0.02   4.82   4.82
Noisy SIR   0.05   4.18   4.18
Noisy BGI  -0.05   4.24   4.24
Noisy BGM  -0.05   4.22   4.22
