Channel: 37 GHz  Passes: 1  Nscale: 3

Case        Mean    STD    RMS
N-F Non     0.06   4.68   4.68
N-F Ave    -0.00   3.96   3.96
N-F SIR    -0.00   3.18   3.18
N-F BGI     0.01   3.33   3.33
N-F BGM     0.01   3.33   3.31
Noisy Non   0.05   4.88   4.88
Noisy Ave  -0.00   4.01   4.01
Noisy SIR   0.00   4.02   4.02
Noisy BGI   0.01   4.12   4.12
Noisy BGM   0.01   4.05   4.05
