Channel: 37 GHz  Passes: 2  Nscale: 3

Case        Mean    STD    RMS
N-F Non    -0.00   3.96   3.96
N-F Ave    -0.00   3.94   3.94
N-F SIR    -0.00   3.15   3.15
N-F BGI     0.00   3.18   3.18
N-F BGM     0.00   3.18   3.17
Noisy Non   0.01   4.08   4.08
Noisy Ave   0.00   3.97   3.97
Noisy SIR   0.01   3.66   3.66
Noisy BGI   0.01   4.06   4.06
Noisy BGM   0.01   3.98   3.98
