Channel: 85 GHz  Passes: 1  Nscale: 4

Case        Mean    STD    RMS
N-F Non     0.01   3.35   3.35
N-F Ave     0.06   3.55   3.55
N-F SIR     0.07   3.42   3.42
N-F BGI     0.22   4.99   5.00
N-F BGM     0.22   4.99   5.00
Noisy Non   0.01   3.49   3.49
Noisy Ave   0.06   3.67   3.67
Noisy SIR   0.06   4.35   4.35
Noisy BGI   0.22   5.36   5.37
Noisy BGM   0.22   5.33   5.34
