Channel: 19 GHz  Passes: 1  Nscale: 2

Case        Mean    STD    RMS
N-F Non    -0.02   5.50   5.50
N-F Ave    -0.02   5.95   5.95
N-F SIR     0.01   4.40   4.40
N-F BGI    -0.14   4.66   4.66
N-F BGM    -0.14   4.66   4.66
Noisy Non  -0.07   5.69   5.69
Noisy Ave  -0.07   5.97   5.97
Noisy SIR  -0.03   4.77   4.77
Noisy BGI  -0.19   5.24   5.24
Noisy BGM  -0.19   5.17   5.17
